Row,Fully nonlinear,Adaptive soft-threshold
Estimate,2302.28552122335,2286.8193743866
Max Regret,1.14593248251275,1.15361276452118
Max Risk,1.12574475590418,1.07309151464202
Threshold,0,0.515870357927348
